age,gender,married,dependents,education,employment_type,years_at_job,annual_income,coapplicant_income,credit_score,credit_history,loan_amount,loan_amount_term,loan_purpose,property_area,collateral_value,loan_status
37,Female,Yes,2,Graduate,Self-Employed,6,1758,947,570,Good,175,180,Education,Rural,892,Rejected
28,Male,No,1,Not Graduate,Salaried,26,1718,610,493,Good,139,300,Education,Rural,639,Rejected
55,Female,Yes,3,Graduate,Salaried,11,1914,689,660,Bad,131,360,Car,Rural,883,Rejected
55,Male,Yes,2,Graduate,Salaried,1,1298,243,463,Good,143,360,Car,Urban,811,Rejected
53,Female,Yes,3,Not Graduate,Self-Employed,29,929,118,358,Good,263,300,Education,Semiurban,294,Rejected
25,Male,No,0,Not Graduate,Unemployed,27,431,102,882,Good,553,360,Personal,Semiurban,928,Rejected
62,Female,No,2,Graduate,Business,8,1674,736,708,Good,742,360,Car,Urban,647,Approved
59,Female,No,0,Graduate,Unemployed,4,489,271,738,Good,505,240,Car,Rural,809,Rejected
61,Female,No,2,Not Graduate,Salaried,4,1102,441,320,Good,664,300,Home,Urban,390,Rejected
48,Male,No,1,Not Graduate,Unemployed,13,1543,236,732,Good,620,480,Personal,Rural,464,Approved
27,Male,No,3,Graduate,Unemployed,18,545,546,311,Good,170,360,Home,Semiurban,565,Rejected
29,Male,No,1,Not Graduate,Unemployed,25,415,715,819,Good,244,300,Education,Semiurban,350,Approved
28,Female,Yes,0,Graduate,Business,17,1745,355,896,Good,148,360,Personal,Urban,867,Approved
32,Female,No,3,Not Graduate,Unemployed,7,1101,370,724,Good,473,300,Home,Urban,223,Rejected
54,Male,Yes,1,Not Graduate,Business,28,1458,301,323,Good,341,300,Business,Rural,294,Rejected
53,Male,No,2,Graduate,Self-Employed,24,903,949,557,Good,171,240,Home,Rural,53,Rejected
43,Female,Yes,2,Graduate,Unemployed,2,1712,70,712,Bad,148,180,Business,Rural,895,Rejected
44,Female,Yes,1,Graduate,Salaried,27,1451,643,809,Good,115,240,Personal,Rural,685,Approved
57,Female,Yes,3,Graduate,Self-Employed,13,1467,75,312,Good,183,180,Other,Semiurban,839,Rejected
55,Female,Yes,0,Not Graduate,Business,10,1282,838,818,Good,794,300,Car,Semiurban,760,Rejected
64,Male,No,2,Not Graduate,Business,28,779,173,783,Good,658,240,Business,Semiurban,956,Rejected
60,Male,No,0,Not Graduate,Unemployed,7,1183,846,870,Good,277,240,Personal,Urban,645,Approved
42,Female,No,3,Not Graduate,Business,21,496,837,655,Good,789,360,Other,Urban,731,Rejected
47,Female,No,3,Not Graduate,Unemployed,11,1984,912,810,Good,105,240,Education,Semiurban,384,Approved
55,Female,No,2,Graduate,Salaried,10,579,464,316,Bad,506,300,Education,Semiurban,802,Rejected
21,Male,No,0,Graduate,Salaried,8,846,235,308,Good,400,240,Other,Semiurban,820,Rejected
55,Male,No,3,Not Graduate,Self-Employed,25,648,259,320,Good,343,360,Business,Semiurban,386,Rejected
57,Female,No,0,Not Graduate,Business,3,1374,902,454,Good,534,360,Business,Semiurban,523,Rejected
34,Female,No,2,Graduate,Salaried,18,160,867,354,Good,744,300,Business,Rural,683,Rejected
23,Female,No,2,Not Graduate,Business,6,757,326,334,Bad,227,360,Car,Urban,215,Rejected
21,Female,No,3,Graduate,Salaried,16,1085,677,723,Good,690,300,Education,Rural,129,Rejected
25,Female,Yes,3,Not Graduate,Self-Employed,15,501,35,388,Good,709,480,Other,Urban,211,Rejected
46,Female,Yes,0,Not Graduate,Unemployed,18,409,361,810,Good,737,240,Personal,Rural,822,Rejected
34,Male,Yes,3,Not Graduate,Unemployed,22,1501,439,712,Good,213,240,Home,Urban,872,Approved
59,Male,Yes,2,Graduate,Business,11,1410,992,432,Good,731,300,Education,Rural,366,Rejected
47,Male,Yes,3,Graduate,Salaried,6,1714,22,850,Good,552,480,Other,Semiurban,371,Approved
29,Female,No,1,Not Graduate,Self-Employed,24,1800,219,724,Good,339,480,Personal,Semiurban,906,Approved
35,Female,No,2,Not Graduate,Self-Employed,13,1463,27,666,Good,249,300,Business,Semiurban,754,Approved
35,Female,Yes,0,Graduate,Unemployed,25,959,544,666,Good,639,360,Other,Semiurban,322,Rejected
46,Male,No,3,Graduate,Salaried,24,1703,725,573,Good,101,240,Business,Rural,743,Rejected
62,Female,Yes,3,Not Graduate,Self-Employed,10,1067,550,486,Bad,757,480,Education,Semiurban,1,Rejected
33,Male,No,2,Graduate,Salaried,10,1053,533,386,Good,791,480,Other,Rural,825,Rejected
52,Female,No,2,Not Graduate,Business,6,995,188,787,Good,351,240,Other,Rural,340,Approved
59,Female,Yes,0,Not Graduate,Self-Employed,10,1333,451,457,Bad,749,240,Education,Semiurban,637,Rejected
52,Female,Yes,2,Not Graduate,Business,29,1475,855,767,Good,447,300,Education,Urban,80,Rejected
24,Male,Yes,0,Graduate,Unemployed,2,1048,698,660,Good,95,180,Education,Semiurban,116,Approved
50,Male,No,3,Graduate,Unemployed,14,1722,503,468,Good,226,300,Other,Urban,50,Rejected
57,Male,Yes,0,Not Graduate,Salaried,2,161,207,742,Good,432,300,Other,Urban,61,Rejected
43,Female,No,0,Not Graduate,Business,29,1202,241,344,Good,772,300,Business,Rural,228,Rejected
59,Male,No,0,Not Graduate,Unemployed,20,1871,621,622,Bad,607,180,Business,Semiurban,308,Rejected
35,Female,No,3,Not Graduate,Unemployed,8,362,60,828,Bad,375,180,Personal,Semiurban,135,Rejected
63,Female,No,1,Graduate,Self-Employed,16,979,652,501,Bad,494,480,Business,Rural,974,Rejected
49,Male,Yes,1,Not Graduate,Self-Employed,16,1282,718,575,Good,192,240,Car,Semiurban,562,Rejected
56,Male,Yes,0,Graduate,Self-Employed,24,354,224,450,Good,381,360,Business,Urban,470,Rejected
33,Female,Yes,2,Not Graduate,Self-Employed,11,963,477,491,Good,428,360,Home,Urban,386,Rejected
52,Female,Yes,1,Not Graduate,Salaried,6,139,951,691,Good,785,180,Personal,Semiurban,670,Rejected
27,Female,No,3,Graduate,Business,10,1713,726,748,Good,240,480,Business,Semiurban,553,Approved
42,Female,Yes,0,Graduate,Salaried,28,438,873,673,Good,618,240,Education,Semiurban,726,Rejected
48,Male,Yes,1,Graduate,Self-Employed,13,1813,954,359,Good,51,240,Education,Rural,314,Rejected
22,Male,Yes,3,Graduate,Business,19,1099,817,818,Good,678,240,Car,Rural,347,Rejected
62,Male,Yes,0,Graduate,Unemployed,0,179,196,455,Bad,409,240,Business,Rural,24,Rejected
26,Female,No,1,Graduate,Self-Employed,5,292,166,830,Good,542,300,Home,Rural,734,Rejected
48,Female,No,0,Not Graduate,Business,24,124,481,837,Good,478,300,Education,Rural,235,Rejected
48,Female,No,1,Graduate,Business,21,1771,168,673,Good,409,240,Personal,Semiurban,750,Approved
64,Male,No,1,Not Graduate,Self-Employed,20,1418,376,702,Good,286,480,Personal,Rural,181,Approved
64,Female,Yes,2,Graduate,Salaried,16,1283,196,540,Good,582,240,Car,Urban,707,Rejected
40,Female,No,1,Graduate,Self-Employed,24,875,570,816,Good,528,180,Home,Rural,683,Rejected
50,Male,Yes,2,Graduate,Business,8,752,700,700,Good,723,480,Personal,Semiurban,992,Rejected
31,Male,Yes,3,Not Graduate,Salaried,0,1830,177,617,Bad,164,300,Business,Urban,840,Rejected
48,Female,Yes,1,Not Graduate,Salaried,11,1317,747,788,Good,570,240,Car,Semiurban,453,Approved
45,Male,Yes,0,Graduate,Salaried,19,976,182,415,Good,144,300,Personal,Urban,865,Rejected
59,Female,No,2,Graduate,Salaried,27,1023,387,458,Good,621,240,Business,Semiurban,100,Rejected
53,Male,No,1,Not Graduate,Business,16,615,783,837,Good,340,360,Personal,Semiurban,508,Approved
21,Female,Yes,2,Graduate,Business,25,1402,202,753,Good,380,480,Personal,Rural,337,Approved
47,Male,No,0,Not Graduate,Self-Employed,3,1413,498,842,Good,64,360,Business,Rural,763,Approved
33,Male,No,0,Graduate,Business,22,1962,154,311,Good,97,180,Personal,Rural,377,Rejected
61,Male,Yes,0,Not Graduate,Self-Employed,7,705,918,745,Good,287,180,Business,Semiurban,786,Approved
23,Male,Yes,3,Not Graduate,Unemployed,18,1309,630,358,Good,188,180,Other,Rural,509,Rejected
59,Female,No,3,Graduate,Business,18,428,480,517,Good,750,300,Personal,Rural,436,Rejected
26,Female,Yes,0,Graduate,Self-Employed,25,1398,598,336,Good,769,360,Personal,Semiurban,664,Rejected
28,Male,No,3,Not Graduate,Salaried,4,1772,524,835,Good,326,180,Education,Urban,125,Rejected
47,Female,Yes,3,Graduate,Salaried,10,1658,633,346,Good,93,360,Personal,Urban,93,Rejected
29,Male,Yes,3,Graduate,Business,5,1838,836,421,Good,796,300,Other,Rural,303,Rejected
57,Male,Yes,3,Graduate,Unemployed,12,624,479,847,Good,743,240,Business,Urban,17,Rejected
53,Female,Yes,3,Graduate,Salaried,18,1600,566,791,Good,652,180,Education,Rural,456,Approved
62,Female,No,3,Not Graduate,Self-Employed,5,1451,487,804,Good,336,240,Education,Rural,99,Rejected
64,Female,No,0,Not Graduate,Self-Employed,25,465,713,382,Good,609,300,Personal,Semiurban,192,Rejected
44,Female,No,3,Not Graduate,Salaried,27,1910,206,611,Good,587,300,Home,Rural,564,Rejected
35,Female,No,3,Not Graduate,Salaried,22,1128,78,529,Good,505,240,Other,Rural,645,Rejected
52,Female,Yes,2,Not Graduate,Salaried,12,1107,827,379,Good,120,480,Personal,Semiurban,322,Rejected
52,Female,Yes,2,Graduate,Unemployed,5,574,214,316,Good,387,240,Other,Rural,335,Rejected
44,Male,No,3,Not Graduate,Unemployed,15,1546,428,310,Bad,214,240,Education,Urban,586,Rejected
61,Female,No,1,Not Graduate,Business,21,1499,313,677,Good,328,360,Education,Urban,161,Rejected
32,Male,No,1,Graduate,Self-Employed,28,1273,319,891,Bad,786,360,Personal,Rural,570,Rejected
59,Female,No,3,Not Graduate,Business,17,1529,161,692,Bad,137,480,Personal,Rural,536,Rejected
22,Female,No,0,Graduate,Business,28,872,643,373,Good,291,360,Business,Urban,195,Rejected
23,Male,Yes,0,Not Graduate,Self-Employed,10,545,76,783,Bad,357,240,Car,Urban,983,Rejected
57,Male,No,2,Graduate,Self-Employed,19,1559,476,793,Good,461,480,Personal,Semiurban,289,Approved
37,Male,No,0,Not Graduate,Self-Employed,16,1971,328,466,Good,115,360,Personal,Urban,232,Rejected
22,Male,Yes,0,Not Graduate,Business,9,1546,68,380,Good,287,180,Other,Rural,934,Rejected
22,Female,Yes,0,Not Graduate,Unemployed,15,893,907,409,Good,341,240,Car,Urban,110,Rejected
48,Female,No,3,Graduate,Self-Employed,28,216,737,730,Bad,151,480,Education,Rural,677,Rejected
43,Male,No,3,Graduate,Salaried,4,1715,691,327,Good,557,180,Other,Urban,447,Rejected
57,Male,No,1,Not Graduate,Unemployed,28,1248,775,847,Bad,359,360,Education,Rural,791,Rejected
52,Female,Yes,2,Not Graduate,Unemployed,28,1563,467,652,Good,74,240,Education,Semiurban,983,Approved
53,Female,No,1,Graduate,Unemployed,9,495,783,861,Good,403,480,Car,Semiurban,63,Rejected
21,Male,No,0,Graduate,Unemployed,2,1940,471,640,Good,269,240,Education,Semiurban,350,Rejected
39,Female,Yes,0,Not Graduate,Self-Employed,18,1775,147,632,Good,575,180,Other,Rural,284,Rejected
22,Female,Yes,1,Graduate,Business,3,1475,839,427,Bad,661,480,Education,Urban,647,Rejected
64,Male,Yes,1,Graduate,Salaried,11,488,284,450,Good,59,480,Other,Urban,638,Rejected
46,Male,Yes,3,Graduate,Salaried,24,711,786,321,Good,58,180,Business,Urban,924,Rejected
52,Male,No,3,Graduate,Business,26,1727,947,725,Good,170,480,Home,Semiurban,983,Approved
26,Male,Yes,2,Graduate,Business,21,1625,937,389,Good,692,240,Car,Rural,9,Rejected
52,Female,Yes,3,Graduate,Unemployed,9,1759,216,560,Good,571,480,Personal,Rural,128,Rejected
24,Male,Yes,0,Graduate,Self-Employed,10,858,548,720,Good,458,480,Education,Semiurban,954,Approved
31,Female,No,0,Graduate,Salaried,7,534,578,897,Good,584,360,Business,Semiurban,626,Rejected
37,Female,Yes,1,Not Graduate,Unemployed,26,1359,126,734,Good,674,480,Personal,Rural,165,Rejected
58,Female,No,2,Graduate,Unemployed,11,1639,658,765,Good,316,180,Education,Rural,366,Approved
44,Female,Yes,3,Graduate,Self-Employed,13,458,563,648,Good,358,240,Personal,Rural,259,Rejected
25,Male,No,2,Graduate,Salaried,20,1994,574,702,Good,332,180,Car,Semiurban,159,Rejected
54,Female,No,0,Graduate,Business,28,1728,353,755,Good,500,480,Car,Urban,23,Rejected
26,Male,No,0,Not Graduate,Unemployed,21,1078,390,582,Good,608,300,Education,Semiurban,312,Rejected
42,Female,Yes,3,Not Graduate,Salaried,2,892,566,791,Good,155,300,Education,Urban,386,Approved
31,Male,No,3,Not Graduate,Salaried,26,1862,8,488,Good,298,300,Home,Urban,191,Rejected
36,Female,Yes,3,Graduate,Unemployed,10,763,519,367,Good,702,240,Car,Rural,856,Rejected
53,Female,Yes,1,Not Graduate,Salaried,26,1307,210,325,Bad,679,300,Business,Semiurban,94,Rejected
29,Male,No,0,Not Graduate,Self-Employed,6,374,100,358,Bad,719,480,Personal,Urban,592,Rejected
26,Male,Yes,1,Not Graduate,Salaried,27,1914,455,376,Good,223,360,Business,Urban,112,Rejected
36,Male,No,0,Graduate,Self-Employed,26,962,46,502,Bad,681,240,Education,Semiurban,318,Rejected
49,Male,Yes,3,Graduate,Unemployed,14,1718,279,594,Good,719,180,Other,Urban,292,Rejected
23,Female,No,0,Not Graduate,Salaried,10,707,321,333,Good,649,240,Other,Urban,255,Rejected
40,Female,Yes,0,Not Graduate,Self-Employed,24,1328,28,836,Good,748,180,Home,Urban,726,Approved
56,Female,No,2,Graduate,Self-Employed,24,145,395,384,Good,562,180,Home,Rural,662,Rejected
39,Female,Yes,0,Graduate,Salaried,6,1781,48,493,Bad,341,180,Home,Semiurban,710,Rejected
46,Female,Yes,0,Not Graduate,Unemployed,18,1312,623,516,Good,317,300,Education,Urban,106,Rejected
23,Male,No,2,Graduate,Business,15,682,708,651,Good,581,480,Education,Urban,388,Rejected
39,Male,Yes,3,Not Graduate,Business,20,1168,320,652,Good,425,480,Personal,Rural,39,Rejected
40,Female,Yes,2,Graduate,Salaried,25,827,76,689,Good,435,240,Home,Semiurban,616,Approved
52,Male,No,3,Not Graduate,Salaried,24,732,102,593,Good,138,300,Other,Rural,353,Rejected
27,Female,No,3,Not Graduate,Business,26,529,7,641,Bad,209,240,Other,Rural,585,Rejected
61,Female,No,3,Not Graduate,Unemployed,24,1140,634,596,Good,414,300,Other,Semiurban,388,Rejected
53,Male,No,0,Not Graduate,Self-Employed,18,1522,821,754,Good,786,480,Car,Semiurban,708,Approved
60,Female,No,2,Not Graduate,Business,12,428,786,318,Good,336,480,Car,Semiurban,619,Rejected
59,Male,Yes,2,Not Graduate,Unemployed,20,1925,749,333,Bad,617,480,Home,Rural,594,Rejected
38,Female,No,2,Graduate,Business,16,1734,923,499,Good,541,480,Personal,Urban,483,Rejected
60,Male,Yes,2,Graduate,Unemployed,13,1173,521,773,Good,142,480,Education,Rural,251,Approved
21,Female,Yes,1,Not Graduate,Business,22,1498,688,623,Bad,91,180,Car,Rural,66,Rejected
31,Female,Yes,0,Graduate,Unemployed,1,750,817,706,Good,797,300,Personal,Urban,879,Rejected
48,Male,Yes,1,Graduate,Unemployed,25,1979,865,524,Bad,436,360,Business,Rural,203,Rejected
45,Female,Yes,0,Graduate,Unemployed,25,781,585,715,Bad,501,300,Home,Rural,155,Rejected
43,Female,No,2,Not Graduate,Self-Employed,21,705,529,481,Bad,117,180,Car,Urban,488,Rejected
51,Male,No,1,Not Graduate,Unemployed,9,1336,9,376,Good,254,240,Personal,Rural,121,Rejected
50,Male,No,3,Graduate,Business,27,1120,980,776,Good,376,240,Car,Semiurban,461,Approved
62,Male,No,2,Graduate,Unemployed,5,1038,577,753,Good,661,300,Other,Semiurban,893,Rejected
55,Female,No,2,Not Graduate,Unemployed,15,134,8,569,Good,554,300,Car,Semiurban,556,Rejected
27,Male,No,3,Not Graduate,Salaried,6,158,638,389,Good,344,360,Home,Rural,426,Rejected
36,Male,Yes,2,Graduate,Unemployed,18,1122,751,375,Good,445,180,Education,Semiurban,266,Rejected
46,Male,No,0,Graduate,Unemployed,23,751,549,488,Good,751,360,Education,Semiurban,437,Rejected
22,Female,No,2,Graduate,Salaried,20,1068,646,465,Bad,258,360,Personal,Semiurban,425,Rejected
21,Male,No,0,Graduate,Self-Employed,9,623,770,671,Good,560,300,Home,Semiurban,141,Rejected
32,Female,No,0,Graduate,Unemployed,19,639,665,433,Good,707,480,Education,Urban,380,Rejected
25,Female,No,2,Graduate,Salaried,26,832,390,535,Good,245,360,Personal,Rural,667,Rejected
57,Male,Yes,3,Graduate,Unemployed,14,1809,115,471,Good,449,480,Personal,Rural,229,Rejected
52,Female,Yes,0,Graduate,Self-Employed,11,976,39,394,Good,506,180,Personal,Semiurban,916,Rejected
29,Female,Yes,1,Graduate,Business,24,1931,600,523,Good,511,240,Car,Rural,368,Rejected
61,Female,No,0,Not Graduate,Unemployed,8,966,356,839,Good,280,480,Personal,Semiurban,140,Approved
55,Female,No,3,Not Graduate,Business,17,896,610,434,Good,209,480,Other,Rural,560,Rejected
39,Female,No,2,Not Graduate,Salaried,16,475,685,524,Good,102,360,Business,Rural,583,Rejected
36,Male,Yes,3,Graduate,Unemployed,18,1251,794,318,Good,427,300,Business,Semiurban,336,Rejected
23,Male,Yes,3,Graduate,Salaried,9,1622,997,430,Good,228,360,Other,Semiurban,444,Rejected
40,Male,No,2,Not Graduate,Business,7,1779,738,401,Bad,232,180,Business,Semiurban,764,Rejected
